age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,services,married,secondary,4789,yes,yes,cellular,11,may,220,1,339,4,failure,yes
35,management,single,tertiary,1350,yes,no,cellular,16,apr,185,1,330,1,failure,yes
30,management,married,tertiary,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no
59,blue-collar,married,secondary,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,management,married,tertiary,747,no,no,cellular,23,feb,141,2,176,3,success,yes
36,self-employed,divorced,secondary,307,yes,no,cellular,14,jun,176,1,-1,0,unknown,no
39,technician,married,secondary,147,yes,no,cellular,17,apr,138,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,221,yes,yes,cellular,20,may,152,1,280,1,failure,no
43,admin.,single,secondary,-88,yes,yes,cellular,17,apr,89,2,190,2,other,no
35,technician,single,tertiary,358,yes,no,cellular,19,jul,116,2,-1,0,unknown,no
36,blue-collar,married,secondary,0,yes,no,unknown,20,may,95,2,-1,0,unknown,no
29,management,single,tertiary,378,yes,no,cellular,7,jun,146,1,-1,0,unknown,no
33,technician,married,secondary,123,yes,no,cellular,15,may,211,2,-1,0,unknown,yes
31,services,single,secondary,140,yes,no,cellular,27,jul,151,1,-1,0,unknown,yes
35,entrepreneur,married,tertiary,0,yes,no,unknown,5,may,107,1,-1,0,unknown,no
34,blue-collar,married,primary,260,yes,no,cellular,7,jun,146,2,-1,0,unknown,no
28,student,single,tertiary,545,no,no,cellular,14,may,265,1,-1,0,unknown,yes
42,technician,married,secondary,412,yes,no,cellular,5,jul,169,1,-1,0,unknown,no
41,admin.,divorced,secondary,0,yes,yes,unknown,15,may,96,1,-1,0,unknown,no
33,blue-collar,married,primary,124,yes,no,cellular,18,jul,174,2,-1,0,unknown,no
40,management,married,tertiary,393,yes,no,cellular,7,jun,173,1,155,1,success,yes
37,services,single,secondary,112,yes,no,cellular,6,may,198,1,90,2,failure,no
38,entrepreneur,married,tertiary,133,yes,yes,cellular,9,may,136,2,-1,0,unknown,no
29,student,single,tertiary,428,no,no,cellular,30,apr,193,1,-1,0,unknown,yes
31,blue-collar,married,secondary,0,yes,no,unknown,3,jun,129,2,-1,0,unknown,no
40,management,single,tertiary,241,yes,no,cellular,13,may,147,1,280,2,failure,yes
36,technician,married,secondary,407,yes,no,cellular,18,jul,127,1,-1,0,unknown,no
41,services,married,secondary,245,yes,no,cellular,21,may,153,1,153,1,success,yes
39,entrepreneur,single,tertiary,0,no,yes,unknown,22,jun,101,2,-1,0,unknown,no
42,student,single,tertiary,543,no,no,cellular,9,jul,244,1,-1,0,unknown,yes
